ori_word,clean_word,cat_ids
abandon*,abandon,"[125, 127, 130, 131, 137]"
abdomen*,abdomen,"[146, 147]"
abilit*,abilit,[355]
able*,able,[355]
abortion*,abortion,"[146, 148, 149]"
about,about,"[1, 16, 17]"
above,above,"[1, 17, 252, 250]"
abrupt*,abrupt,"[253, 250]"
abs,abs,"[146, 147]"
absent*,absent,[354]
absolute,absolute,"[131, 136]"
absolutely,absolutely,"[1, 16, 131, 136, 462]"
abstain*,abstain,"[131, 137]"
abuse*,abuse,"[125, 127, 129]"
abusi*,abusi,"[125, 127, 129]"
academ*,academ,[354]
accept,accept,"[125, 126, 131, 132]"
accepta*,accepta,"[125, 126, 131, 132]"
accepted,accepted,"[11, 13, 125, 126, 131, 132]"
accepting,accepting,"[125, 126, 131, 132]"
accepts,accepts,"[125, 126, 131, 132]"
accomplish*,accomplish,"[354, 355]"
account*,account,[358]
accura*,accura,"[131, 136]"
ace,ace,[355]
ache*,ache,"[125, 127, 130, 146, 148]"
achiev*,achiev,"[354, 355]"
aching,aching,"[125, 127, 130, 146, 148]"
acid*,acid,[140]
acknowledg*,acknowledg,"[131, 132]"
acne,acne,"[146, 148]"
acquainta*,acquainta,"[121, 123]"
acquir*,acquir,[355]
acquisition*,acquisition,[355]
acrid*,acrid,[140]
across,across,"[1, 17, 252, 250]"
act,act,"[250, 251]"
action*,action,"[251, 250]"
activat*,activat,"[131, 133]"
active*,active,"[125, 126]"
actor*,actor,[356]
actress*,actress,[356]
actually,actually,"[1, 16]"
add,add,"[131, 138]"
addict*,addict,"[146, 148]"
addit*,addit,"[131, 138]"
address,address,[357]
adequa*,adequa,[355]
adjust*,adjust,"[131, 132]"
administrat*,administrat,[354]
admir*,admir,"[125, 126]"
admit,admit,"[11, 14, 121, 131, 132]"
admits,admits,"[11, 14, 121, 131, 132]"
admitted,admitted,"[11, 13, 121, 131, 132]"
admitting,admitting,"[121, 131, 132]"
ador*,ador,"[125, 126]"
adult,adult,"[121, 124]"
adults,adults,"[121, 124]"
advanc*,advanc,"[251, 250, 355]"
advantag*,advantag,"[125, 126, 355]"
adventur*,adventur,"[125, 126]"
advers*,advers,"[125, 127]"
advertising,advertising,[354]
advice,advice,[121]
advil,advil,"[146, 148]"
advis*,advis,"[121, 354]"
aerobic*,aerobic,[356]
affair*,affair,[121]
affect,affect,"[131, 133]"
affected,affected,"[11, 13, 131, 133]"
affecting,affecting,"[131, 133]"
affection*,affection,"[125, 126]"
affects,affects,"[131, 133]"
afraid,afraid,"[125, 127, 128]"
after,after,"[1, 17, 253, 250]"
afterlife*,afterlife,"[253, 250, 359]"
aftermath*,aftermath,"[253, 250]"
afternoon*,afternoon,"[253, 250]"
afterthought*,afterthought,"[131, 132, 253, 250]"
afterward*,afterward,"[253, 250]"
again,again,"[1, 16, 253, 250]"
against,against,"[1, 17]"
age,age,"[253, 250]"
aged,aged,"[253, 250]"
agent,agent,[354]
agents,agents,[354]
